timestamp,location,tweet_text,username,all_hashtags,followers_count
2021-12-18 10:21:34+00:00,,"b'#Demonetization, wrongly implemented #GST, no help during the #Covid crisis are the major reasons for #unemployment in India,\xe2\x80\x9d #RahulGandhi further added.'",b'themojostory',"['Demonetization', 'GST', 'Covid', 'unemployment', 'RahulGandhi']",55609
2021-12-18 10:21:31+00:00,Wakefield,"b'OTD 34 years ago I attended my first #Wimbledon FC match at Plough Lane, a Dons 1-0 win against Norwich City on a Friday night.  I would have been at Plough Lane today for the game against #Pompey but it has been #postponed due to #COVID. #afcwimbledon #EFL #LeagueOne'",b'KevinC73346538',"['Wimbledon', 'Pompey', 'postponed', 'COVID', 'afcwimbledon', 'EFL', 'LeagueOne']",220
2021-12-18 10:21:23+00:00,,"b""As infections spike, restrictions are lifted, and my immunisations wane, I feel like I'm in an episode of Squid Game.  #auspol #covid #Restrictions https://t.co/LmQnwYDM76""",b'Emperors_Tailor',"['auspol', 'covid', 'Restrictions']",148
2021-12-18 10:21:05+00:00,Made in West London,"b'@BorisJohnson you need to read this from a vaccine expert. Get rid of vallance, whitty and SAGE and bring in experts with more balance before you loose all credibility. #COVID https://t.co/XjV8DtyVvt'",b'richburge54',['COVID'],82
2021-12-18 10:20:45+00:00,Transworld Consortium.,b'Because the festivities guarantee temporary immunity from #Covid?  A sort of #Covid_19 Christmas Truce. https://t.co/mo1aY1SGBd',b'MarkHazard2020',"['Covid', 'Covid_19']",674
2021-12-18 10:20:26+00:00,Iraq,b'#France: Omicron is accountable to 7-10% of #COVID-19 new cases https://t.co/1lozAKhyrc',b'Shafaqnews',"['France', 'COVID']",9499
2021-12-18 10:19:55+00:00,Southern Hemisphere,"b'@amiscreantmind @ScottMorrisonMP We had every chance to protect all Australians, but @ScottMorrisonMP &amp; @LiberalAus have left us wide open to #Covid We\xe2\x80\x99re a frking island we could have stopped it at our borders but @PeterDutton_MP was too busy persecuting a young Tamil family &amp; other legitimate asylum seekers.'",b'vianhazxeed',['Covid'],374
2021-12-18 10:19:46+00:00,"Toronto, Canada",b'#CES2022 attendees will receive free #COVID tests as #Omicron variant Nerves \xe2\xac\x86\xef\xb8\x8f  @CES announced all attendees must take a #COVID19 PCR test before entering any venue https://t.co/fW5Y1MMRQf  #health #OmicronVarient #COVID19 #Covid_19  cc @DrEricDing https://t.co/pcV051zkv7',b'JimHarris',"['CES2022', 'COVID', 'Omicron', 'COVID19', 'health', 'OmicronVarient', 'COVID19', 'Covid_19']",261543
2021-12-18 10:19:35+00:00,,"b'This has got to be the biggest biochemical weapons testing/deployment, that has ever happened in human history #Covid'",b'Out85Strong',['Covid'],476
2021-12-18 10:19:20+00:00,I’ve been everywhere man,b'@maxrushden the press rooms at Villa park and Elland road are going to be rammed today as every sports journalist in the country will be at one or the other. #Covid hotspot superspreader event.',b'kingofgrump',['Covid'],405
2021-12-18 10:19:13+00:00,DemocracyWelcome Not Russia,b'No mask required! #GetVaccinated #COVIDIOTS #COVIDisAirborne #DoNotComply #Covid_19 #coronavirus #MAGAts #MerryChristmas #unvaccinated #GOPDeathCult #Covid #Unvaxxed #antivaxxers #ICUs #Masks https://t.co/cr31u2RChw',b'BigTinyBird',"['GetVaccinated', 'COVIDIOTS', 'COVIDisAirborne', 'DoNotComply', 'Covid_19', 'coronavirus', 'MAGAts', 'MerryChristmas', 'unvaccinated', 'GOPDeathCult', 'Covid', 'Unvaxxed', 'antivaxxers', 'ICUs', 'Masks']",6348
2021-12-18 10:19:03+00:00,"London, England",b'@GWRHelp @networkrailwest Hitting an all time low using #covid as an excuse to hide your failing network.  #disgusting and disrespectful',b'itsEl_Bess',"['covid', 'disgusting']",5
2021-12-18 10:18:27+00:00,"Regensburg, Bayern",b'Are there still any #wallophiles? Two years into #covid brave new world four years since I was last able to visit #Rome i have to be content with domestic walls. https://t.co/9A8epIwTXP',b'Ratisbonus',"['wallophiles', 'covid', 'Rome']",320
2021-12-18 10:17:58+00:00,"London, England",b'@networkrailwest @GWRHelp @TfL @BTPPaddington #stop using #covid as an excuse to cover up you bad services.  #revolting',b'itsEl_Bess',"['stop', 'covid', 'revolting']",5
2021-12-18 10:17:00+00:00,🌎,b'The fun times in #NYC come amid concerns that the gathering might serve as a super-spreader for the #COVID-19 #Omicron variant.  #Santa #Christmas  https://t.co/tihTaDMBO3',b'AlBawabaEnglish',"['NYC', 'COVID', 'Omicron', 'Santa', 'Christmas']",157410
2021-12-18 10:16:57+00:00,London,"b""@Flashma78139552 #France has got the hump again!  Who's been playing silly buggers, referring to the #COVID variant as OMacron?  https://t.co/qsXHUu5KSE""",b'KenBromfield1',"['France', 'COVID']",2835
